year,county,store_web_q1_growth_ratio,store_web_q2_growth_ratio,store_web_q3_growth_ratio
2000,McMullen County,0.19837563789672494,-0.7488899909632211,-0.5559997263086638
2000,Hickory County,0.15941493980474206,-0.7096352725485497,-0.7111459937411276
2000,Lycoming County,0.13227279754042598,-0.35876381035915555,-0.7627764155681012
2000,San Diego County,0.07290711758980402,-0.5182946996788873,-0.5524572796949185
2000,Maverick County,0.005711661890279316,-0.25955471913785705,-0.7998460164386879
2000,Cheboygan County,-0.027854335860301227,-0.9477035428807775,-0.48535895184644606
2000,Hardy County,-0.0663962230143221,-0.7366947342382404,-0.5126692871298583
2000,Esmeralda County,-0.10180489901595483,-0.8095735987608152,-0.6357285638176748
2000,Divide County,-0.1023573583175492,-0.6295140138024774,-0.5802949923544762
2000,Echols County,-0.11634824366157248,-0.5528609769581929,-0.4611866242760052
2000,Burnet County,-0.11827361134392458,-0.017330493504570207,-0.6268544132953636
2000,Eaton County,-0.13130250555712825,-0.9125902210034975,-0.6564532774368542
2000,Juneau County,-0.13138723717259423,-0.49178713555810466,-0.7030337483018492
2000,Coahoma County,-0.14044490595924955,-0.7200035850300425,-0.6597484007327795
2000,Glynn County,-0.14069378183206108,-0.42957945178069473,-0.463362076170723
2000,Uintah County,-0.14657543305572215,-0.8367088418095414,-0.7651363596771261
2000,Honolulu County,-0.148630749653204,-0.5379389243851049,-0.7123370543295926
2000,Cavalier County,-0.15730206759100535,-0.47532251559610683,-0.6775577993301812
2000,Conway County,-0.16394723065209296,-0.7133115261804024,-0.6399542858460582
2000,San Benito County,-0.17531058592335244,-0.7067378462680839,-0.7838772032131727
2000,Catahoula Parish,-0.1758686110453715,-0.6197148828048652,-0.6477504131667972
2000,Bon Homme County,-0.18070904133923044,-0.5931413127683656,-0.7341211340585294
2000,Edgecombe County,-0.1876630839723787,-0.3830109474924111,-0.584318304169826
2000,Deaf Smith County,-0.19241531341506915,-0.4369152089087791,-0.6052810516867292
2000,Dixie County,-0.19752963464805987,-0.6110427943990386,-0.6958342535309795
2000,Starke County,-0.19758484514897848,-0.7140916031971788,-0.5649457989007072
2000,Muhlenberg County,-0.2062344625857174,-0.6965143805340891,-0.5756669487452354
2000,Crane County,-0.22044641624817035,-0.7251453878677269,-0.8701841064733753
2000,Nye County,-0.22408253361889563,-0.7205630600821272,-0.6285693773001971
2000,Tyrrell County,-0.23536276437226367,-0.5864353570159768,-0.644956728083384
2000,Taliaferro County,-0.2404530818845696,-0.5208806399400866,-0.43816476587864533
2000,Switzerland County,-0.24142785143088896,-0.7431370579091691,-0.6213032412253016
2000,Sanborn County,-0.2544036955739368,-0.653692014718671,-0.5489094743293129
2000,Trinity County,-0.2574798083872077,-0.5540306519857475,-0.7286175917275828
2000,Palm Beach County,-0.26059643161233476,-0.5982638446701652,-0.4578676289478224
2000,Noxubee County,-0.2609857475648198,-0.6536995337380104,-0.6516077673838196
2000,North Slope Borough,-0.26235228196026716,-0.8120012172991368,-0.6354924115668416
2000,Meagher County,-0.2629129500061815,-0.6268968255273397,-0.7105562085986111
2000,Bucks County,-0.2665018623229878,-0.696793429956287,-0.7378660165786658
2000,Judith Basin County,-0.2736353580709209,-0.8683287819055848,-0.5076587045068939
2000,Monterey County,-0.2815994010934468,-0.6894662054253744,-0.6990140451404311
2000,Orangeburg County,-0.2862984951996911,-0.5311237901489193,-0.6491812681487023
2000,Gentry County,-0.29409421878436376,-0.7565611371364993,-0.7163830180448273
2000,Anoka County,-0.2942617907595563,-0.5067066997162734,-0.7217395264960974
2000,Franklin Parish,-0.2949551400005161,-0.5790585856399131,-0.7059262014156409
2000,Reno County,-0.29641649281668286,-0.550107592833346,-0.845993530043189
2000,Clinch County,-0.2992515970310291,-0.460169340833021,-0.6935896682882697
2000,Terry County,-0.29928889545425,-0.6975572872214737,-0.7524301373119929
2000,Barnstable County,-0.29962238149434783,-0.7514904345644288,-0.6945514613126471
2000,Spotsylvania County,-0.30129687683426276,-0.6728136053650066,-0.42126985073507095
2000,Cuming County,-0.30252261050399337,-0.41441670417333926,-0.7574928076606822
2000,Hays County,-0.3048876504759209,-0.44046060720630203,-0.7958358034512258
2000,Athens County,-0.31045625282215455,-0.7368516454079966,-0.7106098530217717
2000,Sanders County,-0.31087641018786943,-0.6832115780046354,-0.6515884064976692
2000,Union Parish,-0.31121203000950853,-0.7229549594613642,-0.568560025277566
2000,Asotin County,-0.3117474958870869,-0.7427030131386186,-0.5505057780409867
2000,Warrick County,-0.31510826481955123,-0.44274381248881867,-0.7731042492279897
2000,Saluda County,-0.31687347308095865,-0.5204989964271536,-0.5933332888608055
2000,Hunterdon County,-0.3190987631429217,-0.44062524162823263,-0.7564076608988508
2000,Ontario County,-0.3219391529310587,-0.46374611625255757,-0.7552082588273803
2000,Juniata County,-0.3228392428017894,-0.6860621291967693,-0.7284296221146025
2000,Calcasieu Parish,-0.3249786471735524,-0.9027277530791236,-0.6590582900121126
2000,Garden County,-0.32600023395050276,-0.8017455858115758,-0.660614027920391
2000,Dawes County,-0.33028239520185193,-0.4565069940814398,-0.7145341695585185
2000,Wasatch County,-0.333507671893578,-0.7351729628391422,-0.7749695878722889
2000,Tuolumne County,-0.3338364264318745,-0.7841476330434557,-0.5872793436099188
2000,McCracken County,-0.3367429146657012,-0.763502508288399,-0.7196591611462453
2000,Cameron Parish,-0.3419255036612698,-0.6276543472974568,-0.6777091210664216
2000,Woodward County,-0.3430793768877023,-0.8315020370835607,-0.8095495856088818
2000,Prince Edward County,-0.343429145394569,-0.488451881787534,-0.7776342489261485
2000,Callahan County,-0.34347654206060274,-0.630146618741011,-0.4009357291698327
2000,Mohave County,-0.345888171099621,-0.8472838757137586,-0.5228541046115136
2000,Dickens County,-0.34607518992616826,-0.7788434423997329,-0.7677529979087917
2000,Yancey County,-0.34945499263102037,-0.5166242045947308,-0.7767252950279813
2000,Clallam County,-0.3495349051060434,-0.5092307224341274,-0.5312347701171513
2000,Tolland County,-0.3496000491869998,-0.8569719528973662,-0.758235888564378
2000,Watauga County,-0.35103998107524903,-0.8468781774358976,-0.5561382274482
2000,Indiana County,-0.3532481541627172,-0.7473226244563493,-0.6510985162971861
2000,Aurora County,-0.3535288531124543,-0.8503076333938494,-0.557317291308498
2000,Oxford County,-0.354152797050436,-0.6398701739204878,-0.6684092175394126
2000,Parke County,-0.3549954619710318,-0.3569910562914303,-0.7677218126830303
2000,Lebanon County,-0.3550174319545431,-0.8062302374818804,-0.5728784123733603
2000,Appling County,-0.357939424925721,-0.6239402736617493,-0.7089900203035314
2000,Bernalillo County,-0.3596156608907793,-0.7036569866477895,-0.5733885222598256
2000,Hampton city,-0.3608768637012498,-0.7109741965379508,-0.494416258505675
