ss_customer_sk,sumsales
,82957.92842576523
70320,275.9184
60822,275.1132123411978
144828,268.5042444414858
150857,252.5626974448316
50448,251.4396875
70248,243.523853046595
116140,243.3215663485941
20136,243.31148936170214
199233,240.91932517742205
7268,238.4888150609081
90975,233.46105354962498
97395,233.23891451831747
109348,232.43986232352472
84010,231.24789473684214
134601,225.89925831202046
5625,225.31848586707412
86204,223.70334340561675
129269,222.74509686259685
37514,222.2061038961039
10402,222.16815856777492
128220,221.43102230933027
1869,220.7987462686567
139467,217.26890176010806
15502,215.99265270106253
26539,215.52806096951525
55137,215.50369565217392
141059,214.83135416666664
34517,213.6786956521739
27602,213.1517525773196
117724,212.4390476190476
76125,209.72001496749914
152983,209.4901948051948
32038,209.24162593984965
55625,209.11503762003764
178437,208.84087111002202
114061,208.5666214071836
98259,207.92010256410254
159739,207.52285872556794
137500,207.12388136686008
66249,206.72076703840372
100803,206.38550631735413
62150,205.17595120806945
112793,204.8006383171336
174781,204.5543243243243
158446,204.065350140056
99137,202.4963875634615
168417,201.886
72207,201.06697674418604
157672,200.51898979591837
112219,199.56294666246703
61173,198.97055335968378
199078,198.94319813829784
9193,198.43272727272728
56141,198.16142857142856
74784,198.10744680851064
100235,195.43017543859648
145520,193.45238095238093
58481,192.78837837837838
116888,191.52658998738286
68621,191.36230000000003
26495,191.13710372476993
53798,190.23163822278624
98021,190.21851063829786
15411,190.17457429931255
64096,190.0300432900433
185012,189.99044444444445
184815,189.45987240829345
93550,189.40638834586466
166589,189.38250000000002
71362,188.6430222794447
50886,188.11277310924368
30931,187.47692307692307
178145,187.12627424749166
76240,186.9224674584004
44537,186.916911976912
127836,186.86497695852535
124162,185.99797916666665
105291,185.95921568627452
10702,185.887941241859
36743,185.827972027972
115305,185.56701474201475
164519,184.888
49979,184.87040541871923
4198,184.7657131661442
78052,184.71600727032384
25961,184.25478413424867
141680,183.68062962962964
21873,183.4074582078054
35776,183.27133558971977
7562,183.135
164037,182.88733333333334
91126,182.87323246610674
134292,182.8597439544808
176048,182.04261617900173
80411,181.4911129568106
24021,181.3683063076565
22817,181.33924585759067
173651,181.23003409660342
168196,181.17325714285715
