(Decimal('-43580700793.17'), None, None, 2, 1)
(Decimal('-3058260601.81'), 'MO', None, 1, 1)
(Decimal('-3503921678.97'), 'GA', None, 1, 2)
(Decimal('-4383017144.23'), 'AL', None, 1, 3)
(Decimal('-4817166926.84'), 'MI', None, 1, 4)
(Decimal('-4825088074.74'), 'OH', None, 1, 5)
(Decimal('-5464953405.34'), 'TN', None, 1, 6)
(Decimal('-5466629731.49'), 'LA', None, 1, 7)
(Decimal('-5697679710.12'), 'SC', None, 1, 8)
(Decimal('-6363983519.63'), 'SD', None, 1, 9)
(Decimal('-4383017144.23'), 'AL', 'Walker County', 0, 1)
(Decimal('-3503921678.97'), 'GA', 'Barrow County', 0, 1)
(Decimal('-5466629731.49'), 'LA', 'Franklin Parish', 0, 1)
(Decimal('-4817166926.84'), 'MI', 'Luce County', 0, 1)
(Decimal('-3058260601.81'), 'MO', 'Daviess County', 0, 1)
(Decimal('-4825088074.74'), 'OH', 'Richland County', 0, 1)
(Decimal('-5697679710.12'), 'SC', 'Fairfield County', 0, 1)
(Decimal('-6363983519.63'), 'SD', 'Ziebach County', 0, 1)
(Decimal('-219722690.71'), 'TN', None, 0, 1)
(Decimal('-5245230714.63'), 'TN', 'Williamson County', 0, 2)
