(Decimal('33063835081.28'), None, None, 2, 1)
(Decimal('3339334114.03'), 'Jewelry', None, 1, 1)
(Decimal('3339264623.04'), 'Electronics', None, 1, 2)
(Decimal('3331198668.42'), 'Shoes', None, 1, 3)
(Decimal('3305449622.62'), 'Sports', None, 1, 4)
(Decimal('3296418840.96'), 'Children', None, 1, 5)
(Decimal('3295182611.08'), 'Home', None, 1, 6)
(Decimal('3289224286.03'), 'Women', None, 1, 7)
(Decimal('3285507225.42'), 'Music', None, 1, 8)
(Decimal('3259225120.36'), 'Books', None, 1, 9)
(Decimal('3244172649.61'), 'Men', None, 1, 10)
(Decimal('78857319.71'), None, None, 1, 11)
(Decimal('218196220.36'), 'Books', 'fiction', 0, 1)
(Decimal('213013547.59'), 'Books', 'sports', 0, 2)
(Decimal('212890963.57'), 'Books', 'reference', 0, 3)
(Decimal('209790400.19'), 'Books', 'home repair', 0, 4)
(Decimal('207133942.76'), 'Books', 'computers', 0, 5)
(Decimal('207048328.12'), 'Books', 'arts', 0, 6)
(Decimal('205494985.78'), 'Books', 'cooking', 0, 7)
(Decimal('205079634.53'), 'Books', 'travel', 0, 8)
(Decimal('204434305.64'), 'Books', 'science', 0, 9)
(Decimal('201594086.33'), 'Books', 'entertainments', 0, 10)
(Decimal('199013597.45'), 'Books', 'parenting', 0, 11)
(Decimal('196419437.26'), 'Books', 'history', 0, 12)
(Decimal('196257740.23'), 'Books', 'mystery', 0, 13)
(Decimal('195130311.16'), 'Books', 'self-help', 0, 14)
(Decimal('193655259.60'), 'Books', 'romance', 0, 15)
(Decimal('189309428.12'), 'Books', 'business', 0, 16)
(Decimal('4762931.67'), 'Books', None, 0, 17)
(Decimal('838280168.57'), 'Children', 'toddlers', 0, 1)
(Decimal('828896420.41'), 'Children', 'infants', 0, 2)
(Decimal('828471158.12'), 'Children', 'school-uniforms', 0, 3)
(Decimal('795784787.51'), 'Children', 'newborn', 0, 4)
(Decimal('4986306.35'), 'Children', None, 0, 5)
