(3240, 1, 162000)
(4090, 1, 204500)
(4292, 1, 214600)
(6103, 1, 305150)
(9298, 1, 464900)
(10264, 1, 513200)
(10879, 1, 543950)
(11330, 1, 566500)
(12775, 1, 638750)
(12851, 1, 642550)
(12865, 1, 643250)
(13224, 1, 661200)
(14218, 1, 710900)
(15076, 1, 753800)
(15172, 1, 758600)
(15706, 1, 785300)
(15934, 1, 796700)
(16208, 1, 810400)
(16315, 1, 815750)
(16527, 1, 826350)
(17094, 1, 854700)
(19674, 1, 983700)
(19743, 1, 987150)
(20196, 1, 1009800)
(20607, 1, 1030350)
(20877, 1, 1043850)
(21229, 1, 1061450)
(22508, 1, 1125400)
(22983, 1, 1149150)
(23031, 1, 1151550)
(23517, 1, 1175850)
(23989, 1, 1199450)
(24012, 1, 1200600)
(24517, 1, 1225850)
(25546, 1, 1277300)
(25745, 1, 1287250)
(25913, 1, 1295650)
(26237, 1, 1311850)
(27090, 1, 1354500)
(27185, 1, 1359250)
(28020, 1, 1401000)
(29864, 1, 1493200)
(29907, 1, 1495350)
(30570, 1, 1528500)
(31734, 1, 1586700)
(32148, 1, 1607400)
(32497, 1, 1624850)
(40781, 1, 2039050)
(53242, 1, 2662100)
(84646, 1, 4232300)
