('edu packimporto #1', 1999, 139879.0075, Decimal('70278.35'), Decimal('81160.18'), Decimal('82010.83'))
('exportiamalg #1', 1999, 136950.6375, Decimal('67662.00'), Decimal('84137.80'), Decimal('78218.58'))
('exportischolar #1', 1999, 129840.96333333333, Decimal('61037.00'), Decimal('78255.04'), Decimal('80757.55'))
('amalgimporto #1', 1999, 133690.60166666665, Decimal('65631.54'), Decimal('78390.76'), Decimal('80823.60'))
('amalgedu pack #1', 1999, 136239.97333333333, Decimal('68402.67'), Decimal('77230.42'), Decimal('74022.09'))
('amalgedu pack #1', 1999, 136996.275, Decimal('69751.95'), Decimal('82407.94'), Decimal('80406.53'))
('amalgscholar #1', 1999, 132965.41666666666, Decimal('65768.18'), Decimal('84950.89'), Decimal('76658.33'))
('amalgscholar #1', 1999, 134767.53833333333, Decimal('67774.67'), Decimal('80657.02'), Decimal('83589.96'))
('importoscholar #1', 1999, 134876.84333333332, Decimal('67927.63'), Decimal('80782.87'), Decimal('76522.96'))
('exportiimporto #1', 1999, 131537.27166666667, Decimal('64615.35'), Decimal('78075.31'), Decimal('75055.50'))
('amalgscholar #1', 1999, 134936.48583333334, Decimal('68035.71'), Decimal('79972.00'), Decimal('75628.43'))
('edu packimporto #1', 1999, 141049.09583333333, Decimal('74254.01'), Decimal('82722.22'), Decimal('80251.57'))
('amalgedu pack #1', 1999, 137321.86166666666, Decimal('70549.12'), Decimal('82502.30'), Decimal('73795.83'))
('importoscholar #1', 1999, 136335.3575, Decimal('69571.60'), Decimal('83751.79'), Decimal('78643.85'))
('edu packedu pack #1', 1999, 130731.73333333334, Decimal('63976.63'), Decimal('78935.27'), Decimal('69614.70'))
('edu packimporto #1', 1999, 139879.0075, Decimal('73313.93'), Decimal('89212.12'), Decimal('82966.32'))
('edu packimporto #1', 1999, 139617.90833333333, Decimal('73171.20'), Decimal('86040.38'), Decimal('79863.86'))
('importoscholar #1', 1999, 132983.635, Decimal('66583.40'), Decimal('74293.65'), Decimal('78661.76'))
('edu packimporto #1', 1999, 138057.09333333332, Decimal('71726.43'), Decimal('78202.87'), Decimal('71727.59'))
('edu packimporto #1', 1999, 138057.09333333332, Decimal('71727.59'), Decimal('71726.43'), Decimal('79358.09'))
('edu packscholar #1', 1999, 138665.52333333335, Decimal('72546.26'), Decimal('83181.80'), Decimal('80258.03'))
('edu packscholar #1', 1999, 137275.36583333334, Decimal('71495.17'), Decimal('81241.46'), Decimal('72205.66'))
('edu packimporto #1', 1999, 137707.48166666666, Decimal('72010.42'), Decimal('83009.55'), Decimal('79923.21'))
('edu packimporto #1', 1999, 140150.03833333333, Decimal('74461.85'), Decimal('75281.05'), Decimal('78247.04'))
('importoedu pack #1', 1999, 131392.5775, Decimal('65844.50'), Decimal('76600.96'), Decimal('80057.70'))
('importoedu pack #1', 1999, 129606.33083333333, Decimal('64156.86'), Decimal('75806.05'), Decimal('75075.08'))
('amalgexporti #1', 1999, 132737.43166666667, Decimal('67315.60'), Decimal('75045.43'), Decimal('70296.74'))
('edu packexporti #1', 1999, 128986.44083333333, Decimal('63585.80'), Decimal('78133.62'), Decimal('70999.41'))
('amalgscholar #1', 1999, 135576.76916666667, Decimal('70182.32'), Decimal('80630.38'), Decimal('76961.93'))
('importoexporti #1', 1999, 133776.2625, Decimal('68397.94'), Decimal('80573.53'), Decimal('74621.11'))
('importoscholar #1', 1999, 136408.23333333334, Decimal('71082.89'), Decimal('84092.13'), Decimal('82080.12'))
('exportiamalg #1', 1999, 135200.9575, Decimal('69880.25'), Decimal('83964.17'), Decimal('74370.02'))
('importoscholar #1', 1999, 133823.815, Decimal('68523.15'), Decimal('77566.83'), Decimal('74096.52'))
('importoimporto #1', 1999, 130841.32333333333, Decimal('65545.29'), Decimal('80060.44'), Decimal('75407.91'))
('amalgedu pack #1', 1999, 136219.06, Decimal('70943.46'), Decimal('81401.97'), Decimal('73595.66'))
('edu packimporto #1', 1999, 140170.79583333334, Decimal('74907.48'), Decimal('83681.43'), Decimal('81451.96'))
('amalgimporto #1', 1999, 134810.03333333333, Decimal('69646.77'), Decimal('78789.07'), Decimal('82492.48'))
('exportiedu pack #1', 1999, 133496.8275, Decimal('68358.85'), Decimal('79040.83'), Decimal('72974.99'))
('amalgexporti #1', 1999, 133827.9, Decimal('68741.79'), Decimal('77118.71'), Decimal('76231.29'))
('importoexporti #1', 1999, 132748.5875, Decimal('67670.47'), Decimal('79068.26'), Decimal('78428.41'))
('edu packscholar #1', 1999, 137275.36583333334, Decimal('72205.66'), Decimal('71495.17'), Decimal('80478.10'))
('edu packscholar #1', 1999, 136357.85333333333, Decimal('71325.32'), Decimal('76819.09'), Decimal('78240.97'))
