('Books', 'arts', 'amalgmaxi #12', None, None, None, None, None, Decimal('105696538.90'), 44)
('Books', 'arts', 'amalgmaxi #2', None, None, None, None, None, Decimal('100154436.52'), 57)
('Books', 'arts', 'amalgmaxi #3', None, None, None, None, None, Decimal('85005314.15'), 82)
('Books', 'arts', 'amalgmaxi #6', None, None, None, None, None, Decimal('94961448.45'), 68)
('Books', 'arts', 'amalgmaxi #8', None, None, None, None, None, Decimal('101384194.45'), 52)
('Books', 'arts', None, None, None, None, None, None, Decimal('613884095.58'), 12)
('Books', 'business', 'importomaxi #12', None, None, None, None, None, Decimal('109488021.86'), 35)
('Books', 'business', 'importomaxi #2', None, None, None, None, None, Decimal('94832393.36'), 69)
('Books', 'business', 'importomaxi #3', None, None, None, None, None, Decimal('83606887.97'), 86)
('Books', 'business', 'importomaxi #6', None, None, None, None, None, Decimal('82829896.42'), 87)
('Books', 'business', 'importomaxi #8', None, None, None, None, None, Decimal('94735149.03'), 70)
('Books', 'business', None, None, None, None, None, None, Decimal('593739740.04'), 16)
('Books', 'computers', 'exportimaxi #12', None, None, None, None, None, Decimal('119272002.22'), 24)
('Books', 'computers', 'exportimaxi #2', None, None, None, None, None, Decimal('99603441.36'), 58)
('Books', 'computers', 'exportimaxi #6', None, None, None, None, None, Decimal('94115995.10'), 71)
('Books', 'computers', 'exportimaxi #8', None, None, None, None, None, Decimal('104997669.96'), 46)
('Books', 'computers', None, None, None, None, None, None, Decimal('606862869.35'), 15)
('Books', 'cooking', 'amalgunivamalg #12', None, None, None, None, None, Decimal('105135785.69'), 45)
('Books', 'cooking', 'amalgunivamalg #2', None, None, None, None, None, Decimal('95030758.25'), 67)
('Books', 'cooking', 'amalgunivamalg #3', None, None, None, None, None, Decimal('73774904.74'), 94)
('Books', 'cooking', 'amalgunivamalg #6', None, None, None, None, None, Decimal('125813807.82'), 19)
('Books', 'cooking', 'amalgunivamalg #8', None, None, None, None, None, Decimal('92530566.31'), 73)
('Books', 'cooking', None, None, None, None, None, None, Decimal('620197649.91'), 11)
('Books', 'entertainments', 'edu packmaxi #12', None, None, None, None, None, Decimal('125733980.27'), 20)
('Books', 'entertainments', 'edu packmaxi #2', None, None, None, None, None, Decimal('115406155.01'), 27)
