(38, 2.0, 18, Decimal('37.44'), Decimal('32.23'), 9, Decimal('51.80'), Decimal('0.61'))
(53, 0.28, 16, Decimal('34.62'), Decimal('39.31'), 57, Decimal('31.09'), Decimal('23.93'))
(55, 0.95, 83, Decimal('3.48'), Decimal('3.29'), 87, Decimal('36.91'), Decimal('16.47'))
(55, 0.96, 55, Decimal('85.30'), Decimal('99.11'), 57, Decimal('20.08'), Decimal('51.28'))
(104, 0.87, 40, Decimal('9.36'), Decimal('9.15'), 46, Decimal('54.70'), Decimal('92.59'))
(119, 1.19, 62, Decimal('59.75'), Decimal('40.10'), 52, Decimal('39.71'), Decimal('65.75'))
(131, 0.04, 3, Decimal('91.78'), Decimal('15.03'), 81, Decimal('4.67'), Decimal('1.57'))
(143, 1.28, 37, Decimal('97.87'), Decimal('19.47'), 29, Decimal('55.55'), Decimal('63.45'))
(149, 5.89, 53, Decimal('90.34'), Decimal('53.21'), 9, Decimal('39.07'), Decimal('6.53'))
(355, 3.42, 41, Decimal('3.49'), Decimal('3.39'), 12, Decimal('91.89'), Decimal('41.10'))
(362, 0.84, 26, Decimal('18.13'), Decimal('8.46'), 31, Decimal('15.79'), Decimal('18.47'))
(371, 0.29, 15, Decimal('64.98'), Decimal('3.14'), 51, Decimal('21.39'), Decimal('10.93'))
(374, 6.93, 97, Decimal('78.99'), Decimal('72.03'), 14, Decimal('1.08'), Decimal('2.38'))
(386, 0.71, 17, Decimal('96.12'), Decimal('23.93'), 24, Decimal('48.35'), Decimal('56.35'))
(433, 1.19, 75, Decimal('51.82'), Decimal('18.49'), 63, Decimal('60.60'), Decimal('64.24'))
(434, 0.02, 2, Decimal('53.86'), Decimal('94.90'), 87, Decimal('54.57'), Decimal('25.59'))
(440, 0.15, 8, Decimal('1.06'), Decimal('0.32'), 53, Decimal('17.78'), Decimal('8.74'))
(467, 1.11, 21, Decimal('37.97'), Decimal('39.77'), 19, Decimal('28.92'), Decimal('23.40'))
(479, 5.78, 52, Decimal('13.98'), Decimal('18.67'), 9, Decimal('16.34'), Decimal('7.10'))
(479, 0.36, 30, Decimal('92.84'), Decimal('90.21'), 84, Decimal('27.37'), Decimal('24.91'))
(511, 0.37, 15, None, Decimal('27.25'), 41, Decimal('87.57'), Decimal('78.53'))
(515, 0.73, 59, Decimal('42.71'), Decimal('18.41'), 81, Decimal('65.02'), Decimal('41.64'))
(565, 2.64, 37, Decimal('15.48'), Decimal('16.11'), 14, Decimal('21.51'), Decimal('6.96'))
(572, 0.26, 18, Decimal('20.23'), Decimal('6.28'), 70, Decimal('19.21'), Decimal('3.49'))
(611, 16.0, 64, Decimal('61.79'), Decimal('32.93'), 4, Decimal('57.18'), Decimal('39.83'))
(649, 0.57, 53, Decimal('94.66'), Decimal('58.97'), 93, Decimal('40.33'), Decimal('39.71'))
(653, 1.77, 83, Decimal('24.77'), Decimal('9.72'), 47, Decimal('94.37'), Decimal('34.82'))
(665, 15.4, 77, Decimal('97.88'), Decimal('56.20'), 5, Decimal('21.22'), Decimal('33.18'))
(679, 4.27, 94, Decimal('6.75'), Decimal('9.20'), 22, Decimal('60.10'), Decimal('34.37'))
(686, 1.13, 77, Decimal('60.77'), Decimal('100.72'), 68, Decimal('69.38'), Decimal('46.80'))
(716, 0.31, 28, Decimal('85.17'), Decimal('3.73'), 90, Decimal('37.67'), Decimal('79.10'))
(743, 0.4, 35, Decimal('87.79'), Decimal('57.20'), 88, Decimal('51.31'), Decimal('83.73'))
(763, 3.46, 97, Decimal('46.35'), Decimal('30.03'), 28, Decimal('79.72'), Decimal('75.30'))
(800, 2.24, 94, Decimal('74.60'), Decimal('93.16'), 42, Decimal('14.86'), Decimal('14.98'))
(818, 0.76, 53, Decimal('59.99'), Decimal('31.11'), 70, Decimal('7.00'), Decimal('8.66'))
(836, 1.05, 80, Decimal('37.40'), Decimal('14.37'), 76, Decimal('4.10'), Decimal('3.90'))
(860, 2.51, 98, Decimal('34.07'), Decimal('3.84'), 39, Decimal('2.90'), Decimal('3.84'))
(866, 1.29, 66, Decimal('75.61'), Decimal('116.01'), 51, Decimal('99.85'), Decimal('169.60'))
(869, 0.18, 9, Decimal('40.64'), Decimal('32.76'), 49, Decimal('81.19'), Decimal('0.83'))
(895, 12.17, 73, Decimal('12.60'), Decimal('3.20'), 6, Decimal('20.60'), Decimal('13.78'))
