('catalog channel', 'catalog_pageAAAAAAAAAAABAAAA', Decimal('0.00'), Decimal('16433.82'), Decimal('-8835.77'))
('catalog channel', 'catalog_pageAAAAAAAAAAACAAAA', Decimal('5053609.07'), Decimal('366.20'), Decimal('-504176.26'))
('catalog channel', 'catalog_pageAAAAAAAAAAFBAAAA', Decimal('0.00'), Decimal('978.57'), Decimal('-764.44'))
('catalog channel', 'catalog_pageAAAAAAAAAAGBAAAA', Decimal('0.00'), Decimal('6760.38'), Decimal('-6479.78'))
('catalog channel', 'catalog_pageAAAAAAAAAALBAAAA', Decimal('0.00'), Decimal('219055.45'), Decimal('-118094.25'))
('catalog channel', 'catalog_pageAAAAAAAAAAMBAAAA', Decimal('4786836.81'), Decimal('34486.86'), Decimal('-461446.12'))
('catalog channel', 'catalog_pageAAAAAAAAAANBAAAA', Decimal('0.00'), Decimal('25179.72'), Decimal('-9991.91'))
('catalog channel', 'catalog_pageAAAAAAAAAAOAAAAA', Decimal('0.00'), Decimal('20345.99'), Decimal('-14607.57'))
('catalog channel', 'catalog_pageAAAAAAAAAAOBAAAA', Decimal('0.00'), Decimal('22754.36'), Decimal('-7907.17'))
('catalog channel', 'catalog_pageAAAAAAAAAAPBAAAA', Decimal('0.00'), Decimal('2905.84'), Decimal('-1175.31'))
('catalog channel', 'catalog_pageAAAAAAAAABABAAAA', Decimal('0.00'), Decimal('15649.89'), Decimal('-7096.42'))
('catalog channel', 'catalog_pageAAAAAAAAABACAAAA', Decimal('5428783.73'), Decimal('271.44'), Decimal('-735079.71'))
('catalog channel', 'catalog_pageAAAAAAAAABFBAAAA', Decimal('0.00'), Decimal('655.70'), Decimal('-702.87'))
('catalog channel', 'catalog_pageAAAAAAAAABLBAAAA', Decimal('0.00'), Decimal('280354.91'), Decimal('-184050.66'))
('catalog channel', 'catalog_pageAAAAAAAAABMBAAAA', Decimal('5197483.54'), Decimal('20519.53'), Decimal('-584818.84'))
('catalog channel', 'catalog_pageAAAAAAAAABNBAAAA', Decimal('0.00'), Decimal('27753.74'), Decimal('-14434.42'))
('catalog channel', 'catalog_pageAAAAAAAAABOAAAAA', Decimal('0.00'), Decimal('29448.73'), Decimal('-18734.49'))
('catalog channel', 'catalog_pageAAAAAAAAABOBAAAA', Decimal('0.00'), Decimal('25475.28'), Decimal('-8296.56'))
('catalog channel', 'catalog_pageAAAAAAAAABPBAAAA', Decimal('0.00'), Decimal('7624.22'), Decimal('-4659.79'))
('catalog channel', 'catalog_pageAAAAAAAAACABAAAA', Decimal('0.00'), Decimal('10610.25'), Decimal('-5815.19'))
('catalog channel', 'catalog_pageAAAAAAAAACACAAAA', Decimal('5180358.13'), Decimal('433.62'), Decimal('-488966.39'))
('catalog channel', 'catalog_pageAAAAAAAAACFBAAAA', Decimal('0.00'), Decimal('2623.57'), Decimal('-1109.19'))
