(2001001, 'amalgimporto #1', 18, 15, Decimal('55029.64'))
(4001001, 'amalgedu pack #1', 17, 49, Decimal('50839.74'))
(3002001, 'importoexporti #1', 19, 16, Decimal('49669.86'))
(3004001, 'edu packexporti #1', 9, 22, Decimal('49413.57'))
(1001001, 'amalgamalg #1', 17, 35, Decimal('47895.79'))
(5003001, 'exportischolar #1', 9, 9, Decimal('47590.58'))
(2003001, 'exportiimporto #1', 19, 13, Decimal('47147.61'))
(2002001, 'importoimporto #1', 18, 45, Decimal('46940.68'))
(3004001, 'edu packexporti #1', 19, 40, Decimal('46779.35'))
(4003001, 'exportiedu pack #1', 17, 7, Decimal('46360.83'))
(3001001, 'amalgexporti #1', 18, 23, Decimal('46148.93'))
(2004001, 'edu packimporto #1', 17, 8, Decimal('46146.57'))
(3001001, 'amalgexporti #1', 17, 31, Decimal('45893.53'))
(5002001, 'importoscholar #1', 19, 44, Decimal('45707.63'))
(3004001, 'edu packexporti #1', 19, 37, Decimal('44578.03'))
(4004001, 'edu packedu pack #1', 17, 3, Decimal('44541.98'))
(4001001, 'amalgedu pack #1', 18, 15, Decimal('44407.57'))
(1003001, 'exportiamalg #1', 19, 13, Decimal('44261.07'))
(3001001, 'amalgexporti #1', 17, 5, Decimal('44042.85'))
(4003001, 'exportiedu pack #1', 9, 46, Decimal('43947.13'))
(3004001, 'edu packexporti #1', 17, 28, Decimal('43522.55'))
(3003001, 'exportiexporti #1', 9, 9, Decimal('43514.59'))
(4003001, 'exportiedu pack #1', 18, 22, Decimal('43376.92'))
(1001002, 'amalgamalg #2', 8, 56, Decimal('42961.09'))
(3004001, 'edu packexporti #1', 17, 21, Decimal('42858.62'))
(2002001, 'importoimporto #1', 18, 23, Decimal('42828.30'))
(5003001, 'exportischolar #1', 17, 55, Decimal('42755.64'))
(4004001, 'edu packedu pack #1', 19, 48, Decimal('42644.09'))
(4003001, 'exportiedu pack #1', 17, 4, Decimal('41689.49'))
(1001001, 'amalgamalg #1', 9, 8, Decimal('41516.72'))
(2002001, 'importoimporto #1', 19, 4, Decimal('41379.22'))
(5003001, 'exportischolar #1', 18, 39, Decimal('41350.52'))
(1004001, 'edu packamalg #1', 9, 23, Decimal('41089.30'))
(4003001, 'exportiedu pack #1', 17, 17, Decimal('41007.94'))
(3004002, 'edu packexporti #2', 18, 33, Decimal('41001.47'))
(5001001, 'amalgscholar #1', 17, 43, Decimal('40998.28'))
(2002001, 'importoimporto #1', 19, 11, Decimal('40807.39'))
(2003002, 'exportiimporto #2', 19, 36, Decimal('40695.00'))
(5001001, 'amalgscholar #1', 9, 39, Decimal('40605.15'))
(2003001, 'exportiimporto #1', 7, 26, Decimal('40441.53'))
(3004001, 'edu packexporti #1', 19, 27, Decimal('40322.26'))
(4001001, 'amalgedu pack #1', 18, 33, Decimal('40244.54'))
(4004001, 'edu packedu pack #1', 17, 37, Decimal('40210.00'))
(1003001, 'exportiamalg #1', 17, 31, Decimal('40175.86'))
(1002001, 'importoamalg #1', 9, 52, Decimal('40090.24'))
(3004001, 'edu packexporti #1', 17, 27, Decimal('39857.83'))
(2001001, 'amalgimporto #1', 9, 5, Decimal('39768.54'))
(3002001, 'importoexporti #1', 19, 21, Decimal('39738.40'))
(5001001, 'amalgscholar #1', 19, 53, Decimal('39626.43'))
(4003001, 'exportiedu pack #1', 19, 35, Decimal('39529.23'))
(2003001, 'exportiimporto #1', 17, 35, Decimal('39368.01'))
(3002001, 'importoexporti #1', 19, 53, Decimal('39348.15'))
(3004001, 'edu packexporti #1', 9, 29, Decimal('39081.79'))
(4003001, 'exportiedu pack #1', 18, 3, Decimal('39071.92'))
(1004001, 'edu packamalg #1', 19, 59, Decimal('39011.85'))
(3001001, 'amalgexporti #1', 18, 51, Decimal('39009.66'))
(2002001, 'importoimporto #1', 17, 28, Decimal('38943.13'))
(1002001, 'importoamalg #1', 18, 26, Decimal('38913.49'))
(1001001, 'amalgamalg #1', 18, 29, Decimal('38864.45'))
(3004001, 'edu packexporti #1', 18, 28, Decimal('38839.00'))
(3001001, 'amalgexporti #1', 18, 33, Decimal('38792.03'))
(3003001, 'exportiexporti #1', 19, 5, Decimal('38777.21'))
(1001001, 'amalgamalg #1', 17, 10, Decimal('38676.81'))
(3004001, 'edu packexporti #1', 17, 59, Decimal('38545.98'))
(3001001, 'amalgexporti #1', 9, 14, Decimal('38541.45'))
(3003001, 'exportiexporti #1', 19, 8, Decimal('38483.98'))
(1002001, 'importoamalg #1', 19, 35, Decimal('38464.25'))
(3004001, 'edu packexporti #1', 18, 45, Decimal('38424.09'))
(4002001, 'importoedu pack #1', 19, 46, Decimal('38374.85'))
(4004001, 'edu packedu pack #1', 9, 30, Decimal('38330.39'))
(2002001, 'importoimporto #1', 19, 26, Decimal('38305.26'))
(4004001, 'edu packedu pack #1', 19, 12, Decimal('38280.80'))
(3003001, 'exportiexporti #1', 17, 10, Decimal('38269.56'))
(3004001, 'edu packexporti #1', 17, 46, Decimal('37995.47'))
(1001001, 'amalgamalg #1', 17, 36, Decimal('37866.70'))
(5003002, 'exportischolar #2', 19, 40, Decimal('37819.69'))
(5002001, 'importoscholar #1', 19, 31, Decimal('37796.01'))
(1002001, 'importoamalg #1', 17, 18, Decimal('37475.04'))
(1003001, 'exportiamalg #1', 18, 59, Decimal('37446.95'))
(3002001, 'importoexporti #1', 9, 10, Decimal('37420.95'))
(1004001, 'edu packamalg #1', 18, 21, Decimal('37366.57'))
(1004001, 'edu packamalg #1', 17, 9, Decimal('37242.62'))
(1002001, 'importoamalg #1', 19, 1, Decimal('37194.33'))
(1003001, 'exportiamalg #1', 19, 54, Decimal('37154.96'))
(3004001, 'edu packexporti #1', 17, 55, Decimal('37144.84'))
(2002001, 'importoimporto #1', 19, 35, Decimal('37097.71'))
(5001001, 'amalgscholar #1', 9, 38, Decimal('37081.37'))
(1004002, 'edu packamalg #2', 17, 6, Decimal('37054.65'))
(2004001, 'edu packimporto #1', 17, 34, Decimal('36993.12'))
(1001001, 'amalgamalg #1', 19, 18, Decimal('36959.13'))
(2003001, 'exportiimporto #1', 17, 59, Decimal('36955.64'))
(1003001, 'exportiamalg #1', 9, 58, Decimal('36919.96'))
(4002001, 'importoedu pack #1', 17, 16, Decimal('36883.65'))
