(1, Decimal('102423.09'), 188015.27666666667)
(1, Decimal('106133.80'), 188015.27666666667)
(1, Decimal('108490.97'), 188015.27666666667)
(1, Decimal('108871.18'), 188015.27666666667)
(1, Decimal('110929.63'), 188015.27666666667)
(1, Decimal('111041.33'), 188015.27666666667)
(1, Decimal('130390.25'), 188015.27666666667)
(1, Decimal('237946.32'), 188015.27666666667)
(1, Decimal('240416.56'), 188015.27666666667)
(1, Decimal('247041.91'), 188015.27666666667)
(1, Decimal('362103.34'), 188015.27666666667)
(1, Decimal('390394.94'), 188015.27666666667)
(2, Decimal('99251.27'), 181528.62083333332)
(2, Decimal('99397.74'), 181528.62083333332)
(2, Decimal('101188.17'), 181528.62083333332)
(2, Decimal('104381.24'), 181528.62083333332)
(2, Decimal('108066.89'), 181528.62083333332)
(2, Decimal('108370.09'), 181528.62083333332)
(2, Decimal('122871.52'), 181528.62083333332)
(2, Decimal('233780.52'), 181528.62083333332)
(2, Decimal('234247.85'), 181528.62083333332)
(2, Decimal('238734.09'), 181528.62083333332)
(2, Decimal('347105.73'), 181528.62083333332)
(2, Decimal('380948.34'), 181528.62083333332)
(3, Decimal('111455.78'), 209112.12583333332)
(3, Decimal('118400.81'), 209112.12583333332)
(3, Decimal('118681.95'), 209112.12583333332)
(3, Decimal('118743.70'), 209112.12583333332)
(3, Decimal('119349.68'), 209112.12583333332)
(3, Decimal('122779.34'), 209112.12583333332)
(3, Decimal('141860.46'), 209112.12583333332)
(3, Decimal('274957.72'), 209112.12583333332)
(3, Decimal('276345.34'), 209112.12583333332)
(3, Decimal('279291.26'), 209112.12583333332)
(3, Decimal('404496.14'), 209112.12583333332)
(3, Decimal('422983.33'), 209112.12583333332)
(4, Decimal('112319.67'), 215659.3575)
(4, Decimal('116258.94'), 215659.3575)
(4, Decimal('123844.87'), 215659.3575)
(4, Decimal('125350.70'), 215659.3575)
(4, Decimal('125425.25'), 215659.3575)
(4, Decimal('126429.87'), 215659.3575)
(4, Decimal('152953.21'), 215659.3575)
(4, Decimal('277832.24'), 215659.3575)
(4, Decimal('281231.72'), 215659.3575)
(4, Decimal('286281.69'), 215659.3575)
(4, Decimal('417719.93'), 215659.3575)
(4, Decimal('442264.20'), 215659.3575)
(5, Decimal('124266.15'), 224583.59416666668)
(5, Decimal('125683.08'), 224583.59416666668)
(5, Decimal('126621.97'), 224583.59416666668)
(5, Decimal('128331.90'), 224583.59416666668)
(5, Decimal('135315.24'), 224583.59416666668)
(5, Decimal('136418.31'), 224583.59416666668)
(5, Decimal('153420.80'), 224583.59416666668)
(5, Decimal('292949.58'), 224583.59416666668)
(5, Decimal('295374.16'), 224583.59416666668)
(5, Decimal('299653.93'), 224583.59416666668)
(5, Decimal('430848.63'), 224583.59416666668)
(5, Decimal('446119.38'), 224583.59416666668)
(6, Decimal('111764.33'), 212857.92333333334)
(6, Decimal('120092.62'), 212857.92333333334)
(6, Decimal('121146.26'), 212857.92333333334)
(6, Decimal('122046.63'), 212857.92333333334)
(6, Decimal('125311.92'), 212857.92333333334)
(6, Decimal('125511.62'), 212857.92333333334)
(6, Decimal('153045.82'), 212857.92333333334)
(6, Decimal('276711.97'), 212857.92333333334)
(6, Decimal('280559.19'), 212857.92333333334)
(6, Decimal('280945.49'), 212857.92333333334)
(6, Decimal('409509.76'), 212857.92333333334)
(6, Decimal('427649.47'), 212857.92333333334)
(7, Decimal('123638.63'), 229390.31)
(7, Decimal('129484.14'), 229390.31)
(7, Decimal('130854.80'), 229390.31)
(7, Decimal('133583.47'), 229390.31)
(7, Decimal('133817.24'), 229390.31)
(7, Decimal('134697.70'), 229390.31)
(7, Decimal('159342.90'), 229390.31)
(7, Decimal('298465.73'), 229390.31)
(7, Decimal('299397.08'), 229390.31)
(7, Decimal('303914.31'), 229390.31)
(7, Decimal('435493.52'), 229390.31)
(7, Decimal('469994.20'), 229390.31)
(8, Decimal('122257.03'), 225530.46916666668)
(8, Decimal('128134.05'), 225530.46916666668)
(8, Decimal('129119.06'), 225530.46916666668)
(8, Decimal('130343.72'), 225530.46916666668)
(8, Decimal('135457.79'), 225530.46916666668)
(8, Decimal('136394.03'), 225530.46916666668)
(8, Decimal('156643.96'), 225530.46916666668)
(8, Decimal('291804.43'), 225530.46916666668)
(8, Decimal('291841.28'), 225530.46916666668)
(8, Decimal('298571.84'), 225530.46916666668)
(8, Decimal('432842.55'), 225530.46916666668)
(8, Decimal('452955.89'), 225530.46916666668)
(9, Decimal('109620.33'), 204659.38166666665)
(9, Decimal('111378.53'), 204659.38166666665)
(9, Decimal('113337.49'), 204659.38166666665)
(9, Decimal('114044.14'), 204659.38166666665)
