('catalog channel', 1, Decimal('8723685098.08'), Decimal('172241809.06'), Decimal('-972897048.62'))
('catalog channel', 2, Decimal('8692088696.80'), Decimal('172241809.06'), Decimal('-969869205.42'))
('catalog channel', 4, Decimal('8665173046.56'), Decimal('172241809.06'), Decimal('-976578978.38'))
('catalog channel', 7, Decimal('8695027711.20'), Decimal('172241809.06'), Decimal('-1013718747.18'))
('catalog channel', 8, Decimal('8647525702.40'), Decimal('172241809.06'), Decimal('-977443147.18'))
('catalog channel', 10, Decimal('8708330821.28'), Decimal('172241809.06'), Decimal('-971376143.50'))
('catalog channel', 13, Decimal('8793565726.08'), Decimal('172241809.06'), Decimal('-969358601.26'))
('catalog channel', 14, Decimal('8792016557.28'), Decimal('172241809.06'), Decimal('-964778831.34'))
('catalog channel', 16, Decimal('8710683780.48'), Decimal('172241809.06'), Decimal('-988198943.18'))
('catalog channel', 19, Decimal('8591995400.48'), Decimal('172241809.06'), Decimal('-985903006.70'))
('catalog channel', 20, Decimal('8596338626.08'), Decimal('172241809.06'), Decimal('-963693252.62'))
('catalog channel', 22, Decimal('8562648916.00'), Decimal('172241809.06'), Decimal('-995510210.38'))
('catalog channel', 25, Decimal('8701286256.80'), Decimal('172241809.06'), Decimal('-945286354.06'))
('catalog channel', 26, Decimal('8585112217.28'), Decimal('172241809.06'), Decimal('-962139771.82'))
('catalog channel', 28, Decimal('8538326168.80'), Decimal('172241809.06'), Decimal('-977538451.18'))
('catalog channel', None, Decimal('156712289.12'), Decimal('172241809.06'), Decimal('-137292487.02'))
('catalog channel', None, Decimal('130160517014.72'), Decimal('2755868944.96'), Decimal('-14771583179.84'))
('store channel', 1, Decimal('56255230.08'), Decimal('1546292.44'), Decimal('-25172684.73'))
('store channel', 2, Decimal('57339974.83'), Decimal('1366807.86'), Decimal('-25709697.95'))
('store channel', 4, Decimal('58029187.92'), Decimal('1423478.38'), Decimal('-26294196.76'))
('store channel', 7, Decimal('55555310.40'), Decimal('1404541.99'), Decimal('-24886477.34'))
('store channel', 8, Decimal('56142106.86'), Decimal('1402913.52'), Decimal('-25247915.96'))
('store channel', 10, Decimal('54645864.95'), Decimal('1529593.75'), Decimal('-25152041.76'))
('store channel', 13, Decimal('57183502.01'), Decimal('1371555.97'), Decimal('-26034847.79'))
('store channel', 14, Decimal('57930205.70'), Decimal('1384075.33'), Decimal('-26415778.19'))
('store channel', 16, Decimal('53881978.33'), Decimal('1388099.87'), Decimal('-24284670.18'))
('store channel', 19, Decimal('57245719.25'), Decimal('1295688.24'), Decimal('-24921018.74'))
('store channel', 20, Decimal('57812827.02'), Decimal('1349171.75'), Decimal('-25804862.00'))
('store channel', 22, Decimal('56084266.02'), Decimal('1315474.23'), Decimal('-25520904.17'))
('store channel', 25, Decimal('56944351.80'), Decimal('1472161.95'), Decimal('-25769186.66'))
('store channel', 26, Decimal('55410523.74'), Decimal('1386971.82'), Decimal('-24064739.54'))
('store channel', 28, Decimal('53586019.67'), Decimal('1489166.10'), Decimal('-24386269.75'))
