(2004001, 'edu packimporto #1', 278, 'eingationable', Decimal('390980.48'))
(4004001, 'edu packedu pack #1', 190, 'barn stought', Decimal('349006.56'))
(4001001, 'amalgedu pack #1', 110, 'baroughtought', Decimal('335398.27'))
(2003001, 'exportiimporto #1', 3, 'pri', Decimal('335379.44'))
(3002002, 'importoexporti #2', 34, 'esepri', Decimal('327875.80'))
(4004002, 'edu packedu pack #2', 69, 'n stcally', Decimal('326401.03'))
(2001002, 'amalgimporto #2', 163, 'pricallyought', Decimal('321484.90'))
(2001001, 'amalgimporto #1', 299, 'n stn stable', Decimal('318245.52'))
(3004001, 'edu packexporti #1', 155, 'antiantiought', Decimal('316904.57'))
(1002001, 'importoamalg #1', 231, 'oughtpriable', Decimal('316121.29'))
(7003007, 'exportibrand #7', 231, 'oughtpriable', Decimal('316091.15'))
(3004001, 'edu packexporti #1', 544, 'eseeseanti', Decimal('302556.97'))
(6016005, 'corpbrand #5', 512, 'ableoughtanti', Decimal('297874.17'))
(2002001, 'importoimporto #1', 212, 'ableoughtable', Decimal('292060.99'))
(2001001, 'amalgimporto #1', 630, 'barprically', Decimal('287154.29'))
(2002001, 'importoimporto #1', 176, 'callyationought', Decimal('279742.68'))
(1004001, 'edu packamalg #1', 148, 'eingeseought', Decimal('276931.04'))
(3002001, 'importoexporti #1', 313, 'prioughtpri', Decimal('270310.41'))
(9008011, 'namelessmaxi #11', 277, 'ationationable', Decimal('268985.09'))
(7010009, 'univnameless #9', 587, 'ationeinganti', Decimal('255906.57'))
(5001002, 'amalgscholar #2', 924, 'eseablen st', Decimal('254018.96'))
(4001001, 'amalgedu pack #1', 430, 'barpriese', Decimal('252813.66'))
(7015005, 'scholarnameless #5', 357, 'ationantipri', Decimal('251919.42'))
(1004002, 'edu packamalg #2', 319, 'n stoughtpri', Decimal('247830.58'))
(6011006, 'amalgbrand #6', 34, 'esepri', Decimal('246752.23'))
(1001001, 'amalgamalg #1', 721, 'oughtableation', Decimal('245409.49'))
(10014016, 'edu packamalgamalg #16', 625, 'antiablecally', Decimal('244491.06'))
(3004001, 'edu packexporti #1', 182, 'ableeingought', Decimal('244193.89'))
(9005002, 'scholarmaxi #2', 833, 'priprieing', Decimal('243399.38'))
(10008012, 'namelessunivamalg #12', 47, 'ationese', Decimal('241568.03'))
(5002001, 'importoscholar #1', 520, 'barableanti', Decimal('240556.94'))
(6013005, 'exportibrand #5', 322, 'ableablepri', Decimal('240506.38'))
