(2001002, 'amalgimporto #2', Decimal('1656972.57'))
(5002002, 'importoscholar #2', Decimal('1134952.19'))
(5004001, 'edu packscholar #1', Decimal('1093325.58'))
(3003002, 'exportiexporti #2', Decimal('1000361.48'))
(2002002, 'importoimporto #2', Decimal('989562.25'))
(1001002, 'amalgamalg #2', Decimal('957641.17'))
(5003001, 'exportischolar #1', Decimal('940503.71'))
(4004002, 'edu packedu pack #2', Decimal('885945.64'))
(3004002, 'edu packexporti #2', Decimal('835322.96'))
(1004001, 'edu packamalg #1', Decimal('834215.10'))
(4002002, 'importoedu pack #2', Decimal('716284.11'))
(5001002, 'amalgscholar #2', Decimal('713460.42'))
(1002001, 'importoamalg #1', Decimal('699359.37'))
(3001002, 'amalgexporti #2', Decimal('625004.17'))
(5003002, 'exportischolar #2', Decimal('620432.59'))
(3001001, 'amalgexporti #1', Decimal('619593.95'))
(2002001, 'importoimporto #1', Decimal('597504.66'))
(1002002, 'importoamalg #2', Decimal('597375.56'))
(3004001, 'edu packexporti #1', Decimal('583410.61'))
(4001002, 'amalgedu pack #2', Decimal('577029.49'))
(5004002, 'edu packscholar #2', Decimal('575988.57'))
(3003001, 'exportiexporti #1', Decimal('545982.93'))
(2003002, 'exportiimporto #2', Decimal('540117.53'))
(2003001, 'exportiimporto #1', Decimal('529429.12'))
(4003002, 'exportiedu pack #2', Decimal('513411.61'))
(4004001, 'edu packedu pack #1', Decimal('432795.47'))
(9007003, 'brandmaxi #3', Decimal('422070.83'))
(7015003, 'scholarnameless #3', Decimal('415311.84'))
(9002008, 'importomaxi #8', Decimal('402488.24'))
(1003001, 'exportiamalg #1', Decimal('382407.49'))
(2004001, 'edu packimporto #1', Decimal('379165.47'))
(6006006, 'corpcorp #6', Decimal('376580.91'))
(4001001, 'amalgedu pack #1', Decimal('368089.16'))
(3002001, 'importoexporti #1', Decimal('366908.21'))
(2004002, 'edu packimporto #2', Decimal('364625.04'))
(1001001, 'amalgamalg #1', Decimal('349423.80'))
(6011002, 'amalgbrand #2', Decimal('346741.88'))
(9009003, 'maximaxi #3', Decimal('345408.79'))
(10006010, 'corpunivamalg #10', Decimal('342255.53'))
(9009009, 'maximaxi #9', Decimal('339094.89'))
