('DC', 92)
('DE', 267)
('HI', 311)
('RI', 373)
('CT', 642)
('NH', 735)
('MA', 1076)
('AZ', 1099)
('VT', 1138)
('ME', 1310)
('NV', 1321)
('NJ', 1703)
('AK', 1756)
('MD', 1797)
('WY', 1878)
('UT', 2253)
('NM', 2464)
('OR', 2844)
('WA', 3262)
('ID', 3395)
('SC', 3675)
('LA', 4344)
('MT', 4393)
('ND', 4466)
('WV', 4605)
('CA', 4617)
('NY', 4792)
('CO', 4976)
('PA', 5209)
('AL', 5243)
('FL', 5270)
('SD', 5286)
('WI', 5460)
('AR', 5935)
('OK', 6121)
('MI', 6220)
('MS', 6475)
('MN', 6817)
('OH', 7046)
('IN', 7168)
('NE', 7636)
(None, 7783)
('IL', 7840)
('TN', 7931)
('IA', 7977)
('KS', 7980)
('NC', 8021)
('MO', 8445)
('KY', 9699)
('VA', 10646)
('GA', 12557)
('TX', 20363)
