('Did not fit', 57.8, 1469.174, 59.602)
('Did not get it on ti', 70.0, 36.75, 60.67)
('Did not like the col', 29.25, 1003.8, 31.5375)
('Did not like the mak', 53.0, 315.69, 35.05)
('Did not like the mod', 30.333333333333332, 219.55, 60.18333333333333)
('Did not like the war', 40.0, 217.05, 93.07)
('Does not work with a', 23.25, 571.0775, 37.08)
('Found a better exten', 51.0, 736.08, 46.395)
('Found a better price', 34.0, 1634.805, 49.45)
('Gift exchange', 30.666666666666668, 300.75333333333333, 82.49)
('Lost my job', 25.5, 374.93833333333333, 38.61833333333333)
('No service location ', 26.5, 1029.28, 32.265)
('Not the product that', 27.5, 225.715, 34.2175)
('Not working any more', 42.42857142857143, 1028.1371428571429, 31.92)
('Package was damaged', 42.8, 907.474, 57.47)
('Parts missing', 36.0, 1289.8533333333332, 75.77333333333333)
('Stopped working', 38.666666666666664, 181.40333333333334, 21.06)
('Wrong size', 13.6, 310.464, 38.61)
('duplicate purchase', 29.5, 84.06, 49.44)
('it is a girl', 39.857142857142854, 917.0114285714286, 55.285714285714285)
('its is a boy', 30.0, 199.89, 67.38)
('reason 23', 23.333333333333332, 585.2283333333334, 59.21333333333333)
('reason 24', 24.6, 371.876, 42.44)
('reason 25', 62.5, 1209.525, 37.425)
('reason 26', 27.5, 477.12, 63.535)
('reason 27', 41.0, 1546.775, 12.21)
('reason 28', 20.0, 1144.19, 38.92)
('reason 29', 34.0, 1507.255, 38.355)
('reason 31', 25.357142857142858, 286.70142857142855, 58.75714285714286)
('reason 32', 45.5, 420.415, 59.8)
('reason 33', 8.0, 394.19, 39.915)
('reason 34', 8.5, 83.1575, 25.4775)
('reason 35', 38.333333333333336, 426.44666666666666, 44.096666666666664)
('reason 36', 24.0, 696.6, 28.06)
('reason 37', 38.666666666666664, 289.74333333333334, 61.24)
('reason 38', 42.5, 109.525, 31.5875)
('reason 39', 24.0, 574.98, 24.885)
('reason 40', 12.0, 347.0933333333333, 69.80333333333333)
('reason 41', 41.0, 232.98, 10.28)
('reason 42', 12.0, 110.19, 6.02)
('reason 43', 14.5, 861.91, 38.145)
('reason 44', 10.5, 124.495, 83.47)
('reason 45', 25.0, 206.95, 71.82)
('reason 46', 12.0, 807.7, 71.67)
('reason 47', 25.0, 542.225, 62.435)
('reason 48', 9.5, 324.83, 30.95)
('reason 49', 18.333333333333332, 607.66, 51.00666666666667)
('reason 50', 13.25, 74.6675, 68.8725)
('reason 51', 29.666666666666668, 119.93333333333334, 51.35666666666667)
('reason 52', 48.0, 327.81333333333333, 30.95)
('reason 53', 12.0, 290.85, 29.4)
('reason 54', 15.0, 457.29, 70.69)
('reason 55', 19.0, 463.335, 70.24)
('unauthoized purchase', 27.333333333333332, 932.3533333333334, 31.506666666666668)
