(-0.4336450672785871, None, None, 2, 1)
(-0.43429067590742165, 'Men', None, 1, 1)
(-0.4342788951995237, 'Books', None, 1, 2)
(-0.4342408954810943, 'Electronics', None, 1, 3)
(-0.4339268714605183, 'Jewelry', None, 1, 4)
(-0.43367299408814974, 'Women', None, 1, 5)
(-0.4334177201034358, 'Children', None, 1, 6)
(-0.4333260015622818, 'Shoes', None, 1, 7)
(-0.43327019930751265, 'Home', None, 1, 8)
(-0.43307363905976115, 'Sports', None, 1, 9)
(-0.4330734253045868, 'Music', None, 1, 10)
(-0.42903469678719175, None, None, 1, 11)
(-0.4376205773407166, 'Books', 'mystery', 0, 1)
(-0.43734794102912306, 'Books', 'romance', 0, 2)
(-0.4361886839015766, 'Books', 'entertainments', 0, 3)
(-0.4360226460777588, 'Books', 'science', 0, 4)
(-0.4355235605178718, 'Books', 'arts', 0, 5)
(-0.4348087463987985, 'Books', 'fiction', 0, 6)
(-0.4346191026793635, 'Books', 'history', 0, 7)
(-0.4344352138245147, 'Books', 'business', 0, 8)
(-0.43429975468308674, 'Books', 'parenting', 0, 9)
(-0.4341095018698458, 'Books', 'reference', 0, 10)
(-0.4334283935939423, 'Books', 'computers', 0, 11)
(-0.4330579164858343, 'Books', 'cooking', 0, 12)
(-0.43270803955428244, 'Books', 'sports', 0, 13)
(-0.4325832043121519, 'Books', 'travel', 0, 14)
(-0.4324234059130792, 'Books', 'self-help', 0, 15)
(-0.43020961662543017, 'Books', 'home repair', 0, 16)
(-0.41646398861687584, 'Books', None, 0, 17)
(-0.4351282160950093, 'Children', 'toddlers', 0, 1)
(-0.4333672604456705, 'Children', 'infants', 0, 2)
(-0.43321637934650614, 'Children', 'newborn', 0, 3)
(-0.4319523769187613, 'Children', 'school-uniforms', 0, 4)
(-0.430074263182331, 'Children', None, 0, 5)
(-0.45203252938546795, 'Electronics', None, 0, 1)
(-0.44010949449864195, 'Electronics', 'portable', 0, 2)
(-0.4392650058507756, 'Electronics', 'automotive', 0, 3)
(-0.4384811927272898, 'Electronics', 'musical', 0, 4)
(-0.4376672794632016, 'Electronics', 'personal', 0, 5)
(-0.4351314682956838, 'Electronics', 'dvd/vcr players', 0, 6)
(-0.4349476990618622, 'Electronics', 'disk drives', 0, 7)
(-0.43429837301284746, 'Electronics', 'camcorders', 0, 8)
(-0.43401867673216377, 'Electronics', 'monitors', 0, 9)
(-0.43315850686305457, 'Electronics', 'wireless', 0, 10)
(-0.43287195595811195, 'Electronics', 'stereo', 0, 11)
(-0.43237185307122117, 'Electronics', 'cameras', 0, 12)
(-0.4320271993200584, 'Electronics', 'televisions', 0, 13)
(-0.43185435791758314, 'Electronics', 'scanners', 0, 14)
(-0.4311259567244571, 'Electronics', 'audio', 0, 15)
(-0.43071617772934007, 'Electronics', 'memory', 0, 16)
(-0.4303042001139741, 'Electronics', 'karoke', 0, 17)
(-0.4535560344679585, 'Home', None, 0, 1)
(-0.43668927556533804, 'Home', 'rugs', 0, 2)
(-0.4348618090222437, 'Home', 'blinds/shades', 0, 3)
(-0.43470807624208185, 'Home', 'kids', 0, 4)
(-0.4344062027823422, 'Home', 'bedding', 0, 5)
(-0.43438866398093884, 'Home', 'mattresses', 0, 6)
(-0.4341136702670566, 'Home', 'flatware', 0, 7)
(-0.4337208768248111, 'Home', 'furniture', 0, 8)
(-0.43313074411929064, 'Home', 'bathroom', 0, 9)
(-0.4330530488065075, 'Home', 'wallpaper', 0, 10)
(-0.43258298174565835, 'Home', 'tables', 0, 11)
(-0.4325451940349789, 'Home', 'glassware', 0, 12)
(-0.43249147142625216, 'Home', 'paint', 0, 13)
(-0.43186827275465667, 'Home', 'lighting', 0, 14)
(-0.43143301409745216, 'Home', 'decor', 0, 15)
(-0.4312666572672285, 'Home', 'curtains/drapes', 0, 16)
(-0.4305187021152615, 'Home', 'accent', 0, 17)
(-0.4388475180715444, 'Jewelry', 'bracelets', 0, 1)
(-0.4374634508524775, 'Jewelry', 'earings', 0, 2)
(-0.43740339778203446, 'Jewelry', 'birdal', 0, 3)
(-0.4361509697446291, 'Jewelry', 'consignment', 0, 4)
(-0.435745324759753, 'Jewelry', 'rings', 0, 5)
(-0.435266405141265, 'Jewelry', 'pendants', 0, 6)
(-0.43522994618165717, 'Jewelry', 'loose stones', 0, 7)
(-0.4352248119579414, 'Jewelry', 'custom', 0, 8)
(-0.43287318569612726, 'Jewelry', 'estate', 0, 9)
