(983, Decimal('774677.27'))
(813, Decimal('777563.30'))
(901, Decimal('788684.15'))
(971, Decimal('807308.02'))
(833, Decimal('823399.33'))
(729, Decimal('832782.52'))
(997, Decimal('839154.32'))
(735, Decimal('844267.85'))
(685, Decimal('848066.67'))
(705, Decimal('848998.04'))
(701, Decimal('850846.03'))
(744, Decimal('856719.27'))
(950, Decimal('858223.42'))
(785, Decimal('858511.81'))
(806, Decimal('869301.52'))
(804, Decimal('880653.93'))
(831, Decimal('888681.27'))
(678, Decimal('891584.57'))
(967, Decimal('897188.72'))
(672, Decimal('897218.11'))
(817, Decimal('899920.68'))
(998, Decimal('902920.44'))
(913, Decimal('904213.57'))
(803, Decimal('913306.58'))
(772, Decimal('916542.22'))
(680, Decimal('918121.39'))
(881, Decimal('925193.64'))
(790, Decimal('928376.13'))
(963, Decimal('934573.66'))
(874, Decimal('938378.24'))
(918, Decimal('947556.69'))
(745, Decimal('947815.61'))
(927, Decimal('950151.04'))
(943, Decimal('958493.84'))
(741, Decimal('961180.44'))
(915, Decimal('963794.65'))
(875, Decimal('971965.01'))
(944, Decimal('977896.37'))
(736, Decimal('985729.92'))
(755, Decimal('986322.84'))
(786, Decimal('988342.74'))
(708, Decimal('990132.50'))
(824, Decimal('991874.34'))
(773, Decimal('992646.04'))
(951, Decimal('994695.79'))
(722, Decimal('995694.71'))
(925, Decimal('996552.65'))
(800, Decimal('996649.65'))
(769, Decimal('997309.21'))
(873, Decimal('1007656.71'))
(847, Decimal('1008507.07'))
(909, Decimal('1011702.87'))
(826, Decimal('1015091.48'))
(992, Decimal('1015908.58'))
(848, Decimal('1016287.97'))
(674, Decimal('1026492.68'))
(771, Decimal('1028764.62'))
(933, Decimal('1030825.36'))
(715, Decimal('1030960.16'))
(852, Decimal('1039216.56'))
(791, Decimal('1047402.15'))
(767, Decimal('1050660.26'))
(928, Decimal('1050839.02'))
(894, Decimal('1053219.66'))
(710, Decimal('1053246.78'))
(816, Decimal('1053797.81'))
(789, Decimal('1055022.43'))
(679, Decimal('1056396.59'))
(748, Decimal('1057284.72'))
(700, Decimal('1061381.60'))
(898, Decimal('1067227.15'))
(837, Decimal('1067820.38'))
(973, Decimal('1070838.22'))
(725, Decimal('1071037.94'))
(731, Decimal('1072636.10'))
(932, Decimal('1073364.42'))
(923, Decimal('1076250.34'))
(934, Decimal('1078391.37'))
(999, Decimal('1079277.02'))
(888, Decimal('1085105.79'))
(777, Decimal('1086078.38'))
(760, Decimal('1087632.43'))
(712, Decimal('1088242.29'))
(938, Decimal('1090699.35'))
(994, Decimal('1091572.80'))
(753, Decimal('1093492.34'))
(960, Decimal('1094339.76'))
(768, Decimal('1095469.34'))
(805, Decimal('1099440.69'))
(709, Decimal('1103854.58'))
(914, Decimal('1105299.17'))
(940, Decimal('1106147.93'))
(921, Decimal('1109278.54'))
(904, Decimal('1114159.59'))
(727, Decimal('1116282.57'))
(886, Decimal('1116971.78'))
(670, Decimal('1121310.15'))
(820, Decimal('1121650.43'))
(969, Decimal('1124984.03'))
(882, Decimal('1127955.86'))
