customer_id,sumsales
27602,20675.72
70248,19631.21
62150,19259.96
86204,19080.48
184815,18617.82
134601,16940.67
178903,15851.29
25832,15763.85
55137,15731.34
191945,15491.34
103071,15423.52
80411,15318.95
187589,14945.28
26495,14747.93
53730,14701.59
179991,14698.30
26646,14683.69
68784,14557.73
163453,14547.28
171803,14468.56
24728,14459.88
132923,14401.60
150982,14368.22
79312,14297.52
8229,14229.59
139467,14213.85
55625,14195.13
7672,14139.84
94410,14131.04
34517,14114.74
49916,14057.25
176048,13998.50
75532,13975.38
173651,13970.98
3948,13956.18
90671,13711.53
91126,13702.85
17462,13560.00
188701,13558.60
78052,13554.53
109311,13517.70
66249,13475.97
199789,13377.38
12429,13357.96
10702,13354.38
130235,13320.80
21873,13301.91
146170,13296.44
41697,13289.72
136588,13272.78
128836,13215.96
52221,13196.42
6533,13114.90
95703,13096.08
15502,13024.47
199233,12975.99
50548,12967.84
112817,12953.12
129269,12925.63
105853,12852.49
13698,12813.90
75254,12796.75
105291,12778.64
23465,12769.92
50419,12603.63
72980,12595.28
94781,12592.74
56760,12576.06
170533,12491.10
41486,12460.80
124295,12447.90
44537,12436.21
120825,12435.72
169257,12426.92
6452,12403.54
51401,12394.91
4198,12384.13
67104,12379.47
27214,12344.64
5193,12288.44
192633,12282.55
85069,12255.33
116140,12218.41
198770,12210.94
61875,12190.70
58262,12188.12
17693,12158.02
100803,12140.97
123639,12081.14
179240,12069.32
39490,12011.32
126844,11986.80
181890,11927.21
87574,11914.84
27735,11898.60
162621,11890.77
76896,11886.37
94556,11850.56
133580,11817.44
125472,11808.44
