d_month_seq,i_category,i_class,i_brand,monthly_sales,s_store_name,sales_difference
1199,Music,classical,edu packscholar #1,47933450.71,able,-1186886217.2558334
1199,Music,classical,edu packscholar #1,47933450.71,able,-1186886217.2558334
1199,Music,classical,edu packscholar #1,47933450.71,able,-1186886217.2558334
1199,Music,classical,edu packscholar #1,47933450.71,able,-1186886217.2558334
1199,Music,classical,edu packscholar #1,47933450.71,able,-1186886217.2558334
1199,Music,classical,edu packscholar #1,47933450.71,able,-1186886217.2558334
1199,Music,classical,edu packscholar #1,47933450.71,able,-1186886217.2558334
1199,Music,classical,edu packscholar #1,47933450.71,able,-1186886217.2558334
1199,Music,classical,edu packscholar #1,47933450.71,able,-1186886217.2558334
1199,Music,classical,edu packscholar #1,47933450.71,able,-1186886217.2558334
1199,Music,classical,edu packscholar #1,47933450.71,able,-1186886217.2558334
1199,Music,classical,edu packscholar #1,47933450.71,eing,-1186886217.2558334
1199,Music,classical,edu packscholar #1,47933450.71,eing,-1186886217.2558334
1199,Music,classical,edu packscholar #1,47933450.71,eing,-1186886217.2558334
1199,Music,classical,edu packscholar #1,47933450.71,eing,-1186886217.2558334
1199,Music,classical,edu packscholar #1,47933450.71,eing,-1186886217.2558334
1199,Music,classical,edu packscholar #1,47933450.71,eing,-1186886217.2558334
1199,Music,classical,edu packscholar #1,47933450.71,eing,-1186886217.2558334
1199,Music,classical,edu packscholar #1,47933450.71,eing,-1186886217.2558334
1199,Music,classical,edu packscholar #1,47933450.71,eing,-1186886217.2558334
1199,Music,classical,edu packscholar #1,47933450.71,eing,-1186886217.2558334
1199,Music,classical,edu packscholar #1,47933450.71,ation,-1186886217.2558334
1199,Music,classical,edu packscholar #1,47933450.71,ation,-1186886217.2558334
1199,Music,classical,edu packscholar #1,47933450.71,ation,-1186886217.2558334
1199,Music,classical,edu packscholar #1,47933450.71,ation,-1186886217.2558334
1199,Music,classical,edu packscholar #1,47933450.71,ation,-1186886217.2558334
1199,Music,classical,edu packscholar #1,47933450.71,ation,-1186886217.2558334
1199,Music,classical,edu packscholar #1,47933450.71,ation,-1186886217.2558334
1199,Music,classical,edu packscholar #1,47933450.71,ation,-1186886217.2558334
1199,Music,classical,edu packscholar #1,47933450.71,ation,-1186886217.2558334
1199,Music,classical,edu packscholar #1,47933450.71,ation,-1186886217.2558334
1199,Music,classical,edu packscholar #1,47933450.71,ation,-1186886217.2558334
1199,Music,classical,edu packscholar #1,47933450.71,able,-1186886217.2558334
1199,Music,classical,edu packscholar #1,47933450.71,able,-1186886217.2558334
1199,Music,classical,edu packscholar #1,47933450.71,able,-1186886217.2558334
1199,Music,classical,edu packscholar #1,47933450.71,able,-1186886217.2558334
1199,Music,classical,edu packscholar #1,47933450.71,able,-1186886217.2558334
1199,Music,classical,edu packscholar #1,47933450.71,able,-1186886217.2558334
1199,Music,classical,edu packscholar #1,47933450.71,able,-1186886217.2558334
1199,Music,classical,edu packscholar #1,47933450.71,able,-1186886217.2558334
1199,Music,classical,edu packscholar #1,47933450.71,able,-1186886217.2558334
1199,Music,classical,edu packscholar #1,47933450.71,able,-1186886217.2558334
1199,Music,classical,edu packscholar #1,47933450.71,able,-1186886217.2558334
1199,Music,classical,edu packscholar #1,47933450.71,able,-1186886217.2558334
1199,Music,classical,edu packscholar #1,47933450.71,able,-1186886217.2558334
1199,Music,classical,edu packscholar #1,47933450.71,able,-1186886217.2558334
1199,Music,classical,edu packscholar #1,47933450.71,able,-1186886217.2558334
1199,Music,classical,edu packscholar #1,47933450.71,able,-1186886217.2558334
1199,Music,classical,edu packscholar #1,47933450.71,able,-1186886217.2558334
1199,Music,classical,edu packscholar #1,47933450.71,able,-1186886217.2558334
1199,Music,classical,edu packscholar #1,47933450.71,able,-1186886217.2558334
1199,Music,classical,edu packscholar #1,47933450.71,able,-1186886217.2558334
1199,Music,classical,edu packscholar #1,47933450.71,able,-1186886217.2558334
1199,Music,classical,edu packscholar #1,47933450.71,able,-1186886217.2558334
1199,Music,classical,edu packscholar #1,47933450.71,able,-1186886217.2558334
1199,Music,classical,edu packscholar #1,47933450.71,able,-1186886217.2558334
1199,Music,classical,edu packscholar #1,47933450.71,able,-1186886217.2558334
1199,Music,classical,edu packscholar #1,47933450.71,able,-1186886217.2558334
1199,Music,classical,edu packscholar #1,47933450.71,able,-1186886217.2558334
1199,Music,classical,edu packscholar #1,47933450.71,able,-1186886217.2558334
1199,Music,classical,edu packscholar #1,47933450.71,able,-1186886217.2558334
1199,Music,classical,edu packscholar #1,47933450.71,able,-1186886217.2558334
1199,Music,classical,edu packscholar #1,47933450.71,able,-1186886217.2558334
1199,Music,classical,edu packscholar #1,47933450.71,able,-1186886217.2558334
1199,Music,classical,edu packscholar #1,47933450.71,ese,-1186886217.2558334
1199,Music,classical,edu packscholar #1,47933450.71,ese,-1186886217.2558334
1199,Music,classical,edu packscholar #1,47933450.71,ese,-1186886217.2558334
1199,Music,classical,edu packscholar #1,47933450.71,ese,-1186886217.2558334
1199,Music,classical,edu packscholar #1,47933450.71,ese,-1186886217.2558334
1199,Music,classical,edu packscholar #1,47933450.71,ese,-1186886217.2558334
1199,Music,classical,edu packscholar #1,47933450.71,ese,-1186886217.2558334
1199,Music,classical,edu packscholar #1,47933450.71,ese,-1186886217.2558334
1199,Music,classical,edu packscholar #1,47933450.71,cally,-1186886217.2558334
1199,Music,classical,edu packscholar #1,47933450.71,cally,-1186886217.2558334
1199,Music,classical,edu packscholar #1,47933450.71,cally,-1186886217.2558334
1199,Music,classical,edu packscholar #1,47933450.71,cally,-1186886217.2558334
1199,Music,classical,edu packscholar #1,47933450.71,cally,-1186886217.2558334
1199,Music,classical,edu packscholar #1,47933450.71,cally,-1186886217.2558334
